topoid,poigroup,poitype,poiname,poilabel,poilabeltype,poialtlabel,poisourcefeatureoid,accesscontrol,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
500168354,3,Park,BLUES POINT RESERVE,BLUES POINT RESERVE,NAMED,,61,1,20100927115312,30000101000000,20100927115312.535,90192,,46ace43f-b5f8-3fb2-84c5-ce491a56cdab,I,,S,,,,,,,,,
500168997,3,Park,BRADFIELD PARK,BRADFIELD PARK,NAMED,,61,1,20141107102549,30000101000000,20141107102618.632,170528,,33891e34-4abe-34e6-ac80-790f6f170470,M,,U,,,,,,,,,
500171208,4,Railway Station,CIRCULAR QUAY RAILWAY STATION,CIRCULAR QUAY RAILWAY STATION,NAMED,,76,1,20140527155428,30000101000000,20140527155706.293,166348,,e334c5ec-97e2-3d31-b9f9-e2062b3c0171,M,,S,,,,,,,,,
500175763,1,Fire Station,PYRMONT FIRE STATION,PYRMONT FIRE STATION,NAMED,,10,1,20100927115312,30000101000000,20100927115312.535,9817,,531e6e79-410d-3e1e-8722-f59d6dbab5e1,I,,U,,,,,,,,,
500175774,3,Park,,Park,GENERIC,,61,1,20100927115312,30000101000000,20100927115312.535,84503,,872cf9ed-bec5-3c4c-938f-bb1dae3bd6dd,I,,U,,,,,,,,,
500175785,3,Park,,Park,GENERIC,,61,1,20100927115312,30000101000000,20100927115312.535,84596,,e078ce72-48b6-39d0-aede-65cc78f92a66,I,,U,,,,,,,,,
500175798,1,Police Station,KINGS CROSS POLICE STATION,KINGS CROSS POLICE STATION,NAMED,,20,1,20121205140730,30000101000000,20121205140912.75,146132,,0d904694-c8d8-366c-a76f-2cec7fe0c3d4,M,,U,,,,,,,,,
500175809,3,Park,MACQUARIE PLACE,MACQUARIE PLACE,NAMED,,61,1,20200212093319,30000101000000,20200212093346.798,223214,,7ad67985-ff09-37e6-aef8-356fdc6f9e02,M,,U,,,,,,,,,
500175842,3,Park,ST NEOT PARK,ST NEOT PARK,NAMED,,61,1,20100927115312,30000101000000,20100927115312.535,87779,,d17d0fad-1330-37fd-80e0-0574c55e30da,I,,U,,,,,,,,,
500176219,3,Park,DR MARY BOOTH RESERVE,DR MARY BOOTH RESERVE,NAMED,,61,1,20100927115312,30000101000000,20100927115312.535,93138,,cfd3ccbc-62a0-3395-b4dd-af8e9a2f20e0,I,,U,,,,,,,,,
500178007,4,Wharf,,Wharf,GENERIC,,73,1,20130513092612,30000101000000,20130513092931.444,152815,,056d2333-324b-3b98-a682-d332e5387ee3,M,,S,,,,,,,,,
500191204,3,Park,,Park,GENERIC,,61,1,20100927115312,30000101000000,20100927115312.535,90932,,ae67f7a2-de4d-3210-8d74-c4be04e2d242,I,,U,,,,,,,,,
500191248,3,Park,CLYNE RESERVE,CLYNE RESERVE,NAMED,,61,1,20141128103456,30000101000000,20141128103531.808,172357,,e1a17b41-134d-3b2b-83b5-874126845ea6,M,,S,,,,,,,,,
500191259,3,Park,MUNN RESERVE,MUNN RESERVE,NAMED,,61,1,20141128103456,30000101000000,20141128103531.81,172358,,43d5797b-ef10-38b5-aa2a-2e433ebcce9e,M,,U,,,,,,,,,
500191293,3,Park,LANG PARK,LANG PARK,NAMED,,61,1,20100927115312,30000101000000,20100927115312.535,93148,,6da2eaa7-fba4-3d68-8504-b461a16fa821,I,,U,,,,,,,,,
