the_geom,cartodb_id,the_geom_webmercator,objectid,_ds_write_method,access_direction,access_direction_cardinal,accessible,baby_change_facilities,bbq,boat_ramp,caravan_disposal,carriageway_code,carriageway_configuration,category,construction_date,description,distance_from,driver_reviver,emergency_phones,entry_taper,exit_taper,food_available,fuel_available,guid,heavy_vehicle_parking_capacity,heavy_vehicles_parking_type,last_updated,latitude,lga,light_vehicle_parking_capacity,light_vehicles_parking_type,lighting,link_no,litter_bins,longitude,lookout,ne_unique,pets_allowed,picnic_table,playground,power_outlets,power_supply,region,responsible_authority,rest_area_name,rest_area_number,road_name,road_number,separated_parking_areas_light_heavy,shade,shelter,side_of_road,sign_non_potable,site_status,sports_ground,suburb,invalid_the_geom,toilets,tourist_information,tree_shading,vehicle_type,water_supply_type
0104000020E610000001000000010100000072A774B0FEAD61400F6B75ABE70040C0,3496,0104000020110F000001000000010100000061E35F95DB076E4188E1EA5A07B84CC1,,,Counter,Southbound,TRUE,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,8.0km South of Broken Hill,,,,,,,,,,2024-04-17 00:00:00+00,-32.00707,UNINCORPORATED - FAR WEST AREA,,,,200,TRUE,141.43734,,"0000022,0200,A3",,,,,,West,Transport for NSW,Truck Rest Area At Town Boundary,249,SILVER CITY HIGHWAY,22,,,,Right,,,,BROKEN HILL,,0,,,HEAVY VEHICLES ONLY,None
0104000020E6100000010000000101000000A48D23D6E2806240F6F56A2BF6A741C0,3497,0104000020110F000001000000010100000084105FE2136E6F41DD52CE4ECD0B50C1,,,Both,Both Directions,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,24km from Tumut and  77km to Wagga Wagga,,,,,,,,,,2024-04-17 00:00:00+00,-35.3122,SNOWY VALLEYS,,,,621,TRUE,148.02769,,"0000004,0621,A1",,TRUE,,,,South,Transport for NSW,RA at Darlow,422,SNOWY MOUNTAINS HIGHWAY,4,,,,Right,,,,SANDY GULLY,,0,,,Light Vehicle Only,None
0104000020E610000001000000010100000092CB7F48BF566240E90F3411368C3FC0,3498,0104000020110F00000100000001010000009307B52380266F4181CE42488A424CC1,,,Counter,Eastbound,TRUE,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,47.0km West of Nyngan,,,,,,,,,,2024-04-17 00:00:00+00,-31.5477,BOGAN,,,,30,TRUE,146.71085,,"0000008,0030,A1",,,,,,West,Transport for NSW,East of Whiterock Rd turn off,1123,BARRIER HIGHWAY,8,,,,Right,,,,HERMIDALE,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E610000001000000010100000046425BCEA50463401F95442FA3803EC0,3499,0104000020110F000001000000010100000030734BAAF1267041C904679458394BC1,,,Both,Both Directions,,,,,,A,Physical Seperation,Class 5 Heavy Vehicle Rest Area,,,74.1km West of Dorrigo,,,,,,,,,,2024-04-17 00:00:00+00,-30.50249,ARMIDALE REGIONAL,,,,210,TRUE,152.14524,,"0000076,0210,A1",,,,,,North,Transport for NSW,Dingo Fence,977,WATERFALL WAY,76,,,,Left,,Open,,WOLLOMOMBI,,0,,,Light Vehicle Only,None
0104000020E6100000010000000101000000BE13B35E0C056340B2BA28B3417E3EC0,3500,0104000020110F0000010000000101000000D7ABD0C548277041860347D4FF364BC1,,,Both,Westbound,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,72.4km West of Dorrigo,,,,,,,,,,2024-04-17 00:00:00+00,-30.49319,ARMIDALE REGIONAL,,,,210,TRUE,152.15776,,"0000076,0210,A1",,,,,,North,Transport for NSW,Dog Grid,1867,WATERFALL WAY,76,,,,Right,,,,WOLLOMOMBI,,0,,,Light Vehicle Only,None
0104000020E610000001000000010100000032384A5E9DED614001AF1EA2D1A53FC0,3501,0104000020110F0000010000000101000000A1559125EC736E4174722203135C4CC1,,,Both,Both Directions,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,89.2km West of Emmdale,,,,,,,,,,2024-04-17 00:00:00+00,-31.64773,CENTRAL DARLING,,,,235,TRUE,143.42546,,"0000008,0235,A2",,,,,,West,Transport for NSW,Talyawalka Flood Plain,1297,BARRIER HIGHWAY,8,,,,Right,,,,WILCANNIA,,0,,,HEAVY VEHICLES ONLY,None
0104000020E61000000100000001010000001BBB44F5D6DC62409F76C18BBEDA3FC0,3502,0104000020110F0000010000000101000000E564269322057041C46F9556EF904CC1,,,Both,Both Directions,TRUE,,TRUE,,,A,Physical Seperation,Other Rest Area,,,47km from Muswellbrook,,,,,,,,,,2024-04-17 00:00:00+00,-31.85447,UPPER HUNTER,,,,731,TRUE,150.90124,,"0000009,0731,A4",TRUE,TRUE,,,,North,State Forests,Burning Mountain,1596,NEW ENGLAND HIGHWAY,9,,TRUE,TRUE,Right,,Open,,MURULLA,,2,TRUE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,Water Truck
0104000020E610000001000000010100000024D1CB2896916240442A32ACE22540C0,3503,0104000020110F0000010000000101000000FD0A4DF3718A6F419309F0CE38024DC1,,,Both,Both Directions,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,7.80km South of Dubbo (SH7),,,,,,,,,,2024-04-17 00:00:00+00,-32.29598,DUBBO REGIONAL,,,,2800,TRUE,148.54958,,"0000017,2800,A1",,,,,,West,Transport for NSW,Truck Parking south of Dubbo,1739,NEWELL HIGHWAY,17,,,,Right,,,,DUBBO,,0,,,HEAVY VEHICLES ONLY,None
0104000020E61000000100000001010000005036E50AEF6D624091E14D6210D441C0,3504,0104000020110F0000010000000101000000CA74C29FE24D6F413E21523ACD3950C1,,,Counter,Northbound,,,,,,C,,Class 5 Heavy Vehicle Rest Area,,,100km from Gundagai and  79km to Albury,,,,,,,,,,2024-04-17 00:00:00+00,-35.65675,GREATER HUME SHIRE,,,,2085,TRUE,147.43543,,"0000002,2085,C1",,,,,,South,Transport for NSW,Garryowen,30,HUME HIGHWAY,2,,TRUE,,Right,,,,LITTLE BILLABONG,,0,,TRUE,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E6100000010000000101000000452A8C2D04F26140285EF701485541C0,3505,0104000020110F00000100000001010000003B3A7025667B6E4168A410992D6C4FC1,,,Both,Both Directions,TRUE,,,,,A,Physical Seperation,Light Vehicle Only Rest Area,,,128km from Hay and  3km to Balranald,TRUE,,,,,,,,,2024-04-17 00:00:00+00,-34.66626,BALRANALD,,,,441,TRUE,143.56301,,"0000014,0441,A1",,TRUE,,,,West,Transport for NSW,Information Bay Junction MR694,258,STURT HIGHWAY,14,,TRUE,TRUE,Left,,Open,,BALRANALD,,0,TRUE,TRUE,Light Vehicle Only,None
